conc_P25,CAM000,CAM001,CAM007,CAM008,CAM010,CAM011,CAM012,CAM014,CAM015,CAM016,CAM018,CAM019,CAM021,CAM023,CAM024,CAM025,CAM026,CAM029,CAM030,CAM032,CAM033,CAM035
94,1.55210643,31.96125908,0.980533526,4.153846154,13.21713271,8.69880849,1.758241758,0,2.249744347,77.75590551,9.414841451,12.3943662,15.41425819,26.74596246,19.93124118,4.274032519,3.368421053,6.913827655,31.35636926,3.861788618,5.448113208,1.761517615
6,32.59423503,49.31656643,57.44292237,180,4.641485275,33.20222242,45.42124542,71.4893617,71.31134088,95.688039,90.13433483,102.6408451,80.2942722,122.4683544,142.1720733,99.74891842,22.73684211,16.1740147,73.8267148,9.756097561,19.15487421,0
1,123.5294118,137.8039794,36.59491194,247.5353218,43.2690185,78.42507318,127.9120879,187.8947368,88.73991592,86.45669291,208.2069036,153.7378115,149.6584341,102.3089545,235.8251058,147.7673053,63.62573099,36.41751588,88.56799037,96.34146341,9.201798349,86.77792041
0,74.04958678,24.85875706,165.8536585,159.9007444,38.41229193,45.3928036,117.6669484,47.14285714,104.5297883,74.42403033,256.3975155,133.4264206,98.03468208,244.159132,158.8523495,72.62346224,41.73913043,36.80739858,44.28399519,3.31010453,73.05039992,60.91915086
